component_class	class_unit	instances	graphic_props	count_props	count_default	n_distribution	inferred_distribution	disagreements	formats	distinct_payloads	runtime_refs
TabcToggleBtn	Abcbtn	20	Picture.Data	NumGlyphs	1	4:20	4:20	0	bmp:20	3	16
TAboutBox		1	Icon.Data			?:1	?:1	0	ico:1	1	
TBarSeries		1	BarBrush.Image.Data			?:1	?:1	0	bmp:1	1	
TBitBtn		16	Glyph.Data	NumGlyphs		2:10;?:6	2:9;1:6;?:1	0	bmp:16	7	
TCommentsFrm		1	Icon.Data			?:1	?:1	0	ico:1	1	
TCompInfoDlg		1	Icon.Data			?:1	?:1	0	ico:1	1	
TcxBarEditItem		3	Glyph.Data;LargeGlyph.Data;Properties.Glyph.Data			?:3	?:3	0	png:1;svg:2	2	
TcxButton		79	OptionsImage.Glyph.Data	OptionsImage.NumGlyphs		4:8;2:14;?:57	4:8;2:14;1:3;?:54	0	bmp:27;svg:52	34	
TcxButtonEdit		8	Properties.Buttons[0].Glyph.Data;Properties.Buttons[1].Glyph.Data;Properties.Buttons[2].Glyph.Data;Properties.Buttons[3].Glyph.Data			?:8	?:8	0	svg:8	4	
TcxDBButtonEdit		8	Properties.Buttons[0].Glyph.Data;Properties.Buttons[1].Glyph.Data;Properties.Buttons[2].Glyph.Data;Properties.Buttons[3].Glyph.Data			?:8	?:8	0	svg:8	4	
TcxGridDBColumn		28	Properties.Buttons[0].Glyph.Data;Properties.Buttons[1].Glyph.Data;Properties.Glyph.Data			?:28	6:26;2:1;1:1	0	bmp:28	4	
TcxGridTableView		1	DataController.Data			?:1	?:1	0	?:1	1	
TcxHintStyleController		1	HintStyle.Icon.Data			?:1	?:1	0	ico:1	1	
TcxImage		9	Picture.Data			?:9	?:9	0	png:1;?:8	4	
TcxImageCollectionItem		7	Picture.Data			?:7	?:7	0	?:7	5	
