dfm_path	pas_unit	surface	form_class	object_path	component_name	component_class	class_unit	inherited	property	kind	wrapper	format	bytes	width	height	bpp	palette_entries	count_prop	count_value	count_default	count_effective	inferred_n	agree	payload_sha	image_file
C:\Projects\M2022\ABOUT_BX.dfm	ABOUT_BX.pas	dfm	TAboutBox		AboutBox	TAboutBox			Icon.Data	single		ico	1150	0	0	0	0							87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be	images\87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be.ico
C:\Projects\M2022\ABOUT_BX.dfm	ABOUT_BX.pas	dfm	TAboutBox	Panel1.Panel2.cxImage1	cxImage1	TcxImage			Picture.Data	single	TdxSmartImage		6709	0	0	0	0							322222c79f9dffa7339c7209ff1871c6e9446c4d93317cc49750f7a08e23ff38	images\322222c79f9dffa7339c7209ff1871c6e9446c4d93317cc49750f7a08e23ff38.bin
C:\Projects\M2022\ABOUT_BX.dfm	ABOUT_BX.pas	dfm	TAboutBox	Panel3.RzPanel2.RzMenuButton1	RzMenuButton1	TcxButton			OptionsImage.Glyph.Data	single		svg	311	0	0	0	0							ab2833c13bab5dcf5c52f24bf054fc6b3ced8666064942a91cc8b758a6e53202	images\ab2833c13bab5dcf5c52f24bf054fc6b3ced8666064942a91cc8b758a6e53202.svg
C:\Projects\M2022\ActiveUsers.dfm	ActiveUsers.pas	dfm	TfrmActiveUsers		frmActiveUsers	TfrmActiveUsers			Icon.Data	single		ico	1150	0	0	0	0							87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be	images\87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be.ico
C:\Projects\M2022\ActiveUsers.dfm	ActiveUsers.pas	dfm	TfrmActiveUsers	Panel1.RzMenuButton1	RzMenuButton1	TcxButton			OptionsImage.Glyph.Data	single		svg	311	0	0	0	0							ab2833c13bab5dcf5c52f24bf054fc6b3ced8666064942a91cc8b758a6e53202	images\ab2833c13bab5dcf5c52f24bf054fc6b3ced8666064942a91cc8b758a6e53202.svg
C:\Projects\M2022\ActiveUsers.dfm	ActiveUsers.pas	dfm	TfrmActiveUsers	qry1	qry1	TQuery			Data	single			645	0	0	0	0							a6d12c037bcd03ebd5cabc4fd006d355dccdfacdec86bef55c057dbf2c05e7a9	images\a6d12c037bcd03ebd5cabc4fd006d355dccdfacdec86bef55c057dbf2c05e7a9.bin
C:\Projects\M2022\AskNewToolCounter.dfm	AskNewToolCounter.pas	dfm	TfrmAskNewToolCounter		frmAskNewToolCounter	TfrmAskNewToolCounter			Icon.Data	single		ico	766	0	0	0	0							f97bf4dec162607c66fa8fef3ff7cc32ac8ca761a250890afc6434fabbd46443	images\f97bf4dec162607c66fa8fef3ff7cc32ac8ca761a250890afc6434fabbd46443.ico
C:\Projects\M2022\AskNewToolCounter.dfm	AskNewToolCounter.pas	dfm	TfrmAskNewToolCounter	dxBarManager1.btnExit	btnExit	TdxBarButton			Glyph.Data	single		bmp	1078	16	16	32	0					1		d1f5d5f839df61eb3317ff82c09de63b57e908669df38bd26a96a6dd5b8d7ad7	images\d1f5d5f839df61eb3317ff82c09de63b57e908669df38bd26a96a6dd5b8d7ad7.bmp
C:\Projects\M2022\AskNewToolCounter.dfm	AskNewToolCounter.pas	dfm	TfrmAskNewToolCounter	dxBarManager1.btnMaximize	btnMaximize	TdxBarButton			Glyph.Data	single		bmp	1078	16	16	32	0					1		d979d0b7b77a3576b3ea07e84c5ebda63b9ff26d22cf4e477f50474bd456c113	images\d979d0b7b77a3576b3ea07e84c5ebda63b9ff26d22cf4e477f50474bd456c113.bmp
C:\Projects\M2022\AskNewToolCounter.dfm	AskNewToolCounter.pas	dfm	TfrmAskNewToolCounter	dxBarManager1.btnCancel	btnCancel	TdxBarButton			Glyph.Data	single		bmp	1078	16	16	32	0					1		d8be263f447bb2946a9ecf5e82e5052aebdb1fe0336a015e65e001415629d619	images\d8be263f447bb2946a9ecf5e82e5052aebdb1fe0336a015e65e001415629d619.bmp
