dfm_path	pas_unit	surface	form_class	object_path	component_name	component_class	class_unit	inherited	property	kind	wrapper	format	bytes	width	height	bpp	palette_entries	count_prop	count_value	count_default	count_effective	inferred_n	agree	payload_sha	image_file
C:\Projects\DB\ORM3\BACKUP\EWrkSLCT.dfm	EWrkSLCT.pas	dfm	TfrmEwrkSlct		frmEwrkSlct	TfrmEwrkSlct	EWrkSLCT		Icon.Data	single		ico	1150	0	0	0	0							87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be	images\87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be.ico
C:\Projects\DB\ORM3\BACKUP\EWrkSLCT.dfm	EWrkSLCT.pas	dfm	TfrmEwrkSlct	btn_Cancel	btn_Cancel	TBitBtn			Glyph.Data	strip		bmp	2002	36	18	24	0	NumGlyphs	2		2	2	Y	d78f1bb64a7e8beab00a2dab78822953f929c64f88e7e91e471d18b75f1c4855	images\d78f1bb64a7e8beab00a2dab78822953f929c64f88e7e91e471d18b75f1c4855.bmp
C:\Projects\DB\ORM3\BACKUP\EWrkSLCT.dfm	EWrkSLCT.pas	dfm	TfrmEwrkSlct	btn_Ok	btn_Ok	TBitBtn			Glyph.Data	strip		bmp	2002	36	18	24	0	NumGlyphs	2		2	2	Y	e0eb440933305d2932dcd2291622c4b925879d4f8d95ac5fd930d81a4c5ed4bf	images\e0eb440933305d2932dcd2291622c4b925879d4f8d95ac5fd930d81a4c5ed4bf.bmp
C:\Projects\DB\ORM3\BACKUP\EWrkSLCT.dfm	EWrkSLCT.pas	dfm	TfrmEwrkSlct	edt_LotSize	edt_LotSize	TOvcSimpleField			RangeHigh	single			10	0	0	0	0							f8085fb4c654c6e3627a51f27013c1aa0e49b7fcfe0bbd525bcedfcccdfbf013	images\f8085fb4c654c6e3627a51f27013c1aa0e49b7fcfe0bbd525bcedfcccdfbf013.bin
C:\Projects\DB\ORM3\BACKUP\EWrkSLCT.dfm	EWrkSLCT.pas	dfm	TfrmEwrkSlct	edt_LotSize	edt_LotSize	TOvcSimpleField			RangeLow	single			10	0	0	0	0							01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca	images\01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca.bin
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4		frmBlueprint4	TfrmBlueprint4	Blueprint4		Icon.Data	single		ico	1150	0	0	0	0							87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be	images\87829c566615525191dec99da56caf00d42442aaa72a701af21d38cb4d4598be.ico
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	cxGroupBox16.cxPageControl1.tabRouter.cxGroupBox5.TabFtrType.cxTabSheet1.cxGroupBox10.cxGroupBox11.edtZeroAt	edtZeroAt	TcxButtonEdit			Properties.Buttons[0].Glyph.Data	container		svg	539	0	0	0	0							54255b1f42a1243163dfdc6d7a027143e049c8713f3d1902f01299f7e280b79e	images\54255b1f42a1243163dfdc6d7a027143e049c8713f3d1902f01299f7e280b79e.svg
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	cxGroupBox16.cxPageControl1.tabRouter.cxGroupBox5.TabFtrType.cxTabSheet1.cxGroupBox10.cxGroupBox11.edtZeroAt	edtZeroAt	TcxButtonEdit			Properties.Buttons[1].Glyph.Data	container		svg	791	0	0	0	0							734d087624eb5bbe251eb800562c797e90fe53eac2faa9df69fd4cb137d6a54c	images\734d087624eb5bbe251eb800562c797e90fe53eac2faa9df69fd4cb137d6a54c.svg
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	cxGroupBox16.cxPageControl1.tabRouter.cxGroupBox5.TabFtrType.cxTabSheet1.cxGroupBox10.cxGroupBox11.edtZeroAt	edtZeroAt	TcxButtonEdit			Properties.Buttons[2].Glyph.Data	container		svg	539	0	0	0	0							56320698ba9f7e8cf1214bba7634e804f1c3f2a2f7726d2256f511005c230cfc	images\56320698ba9f7e8cf1214bba7634e804f1c3f2a2f7726d2256f511005c230cfc.svg
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	cxGroupBox16.cxPageControl1.tabRouter.cxGroupBox5.TabFtrType.cxTabSheet1.cxGroupBox10.cxGroupBox11.edtZeroAt	edtZeroAt	TcxButtonEdit			Properties.Buttons[3].Glyph.Data	container		svg	1035	0	0	0	0							8e2031bc811b6b6679a910f03bb4a3fa4109fff48e5a8bcb185dc0c96efe20bf	images\8e2031bc811b6b6679a910f03bb4a3fa4109fff48e5a8bcb185dc0c96efe20bf.svg
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	cxGroupBox16.cxPageControl1.tabRouter.cxGroupBox5.TabFtrType.cxTabSheet1.cxGroupBox15.edtNotes	edtNotes	TcxMRUEdit			Properties.ButtonGlyph.Data	single		svg	1533	0	0	0	0							fbb2cbeffd8ce2721a90b0035e24f37ba7e9dcf94f80136050ce7afdb19232fa	images\fbb2cbeffd8ce2721a90b0035e24f37ba7e9dcf94f80136050ce7afdb19232fa.svg
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	dxBarManager1.barQuickAction	barQuickAction	TdxBar			Glyph.Data	single		svg	663	0	0	0	0							37385f8b11b3cb71ddfd8216f26e11bec00dadea44b8183c0668e84e64ead5cd	images\37385f8b11b3cb71ddfd8216f26e11bec00dadea44b8183c0668e84e64ead5cd.svg
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	dxBarManager1.barTabArea	barTabArea	TdxBar			Glyph.Data	single		svg	1111	0	0	0	0							d58198a6bfaa096c9ebc1ee63357ed35f2171439f9c29e32427ec6921c7a5fd8	images\d58198a6bfaa096c9ebc1ee63357ed35f2171439f9c29e32427ec6921c7a5fd8.svg
C:\Projects\DB\ORM3\CLIENT\Blueprint4 - Copy.dfm	Blueprint4 - Copy.pas	dfm	TfrmBlueprint4	dxBarManager1.btnExitToJobList	btnExitToJobList	TdxBarLargeButton			Glyph.Data	single		svg	3033	0	0	0	0							39e5933d6f88188b2c66d8c653d769e7684d9a23c349e93e39b61c6384fc2a9e	images\39e5933d6f88188b2c66d8c653d769e7684d9a23c349e93e39b61c6384fc2a9e.svg
